id_colaborador,nome,sexo,idade,faixa_etaria,estado_civil,escolaridade,cidade,estado,regional,centro_distribuicao,pcd,data_admissao,tempo_empresa,gestor,tipo_contrato,modelo_trabalho,status
1,Brenda Alves,Masculino,37,35-44,Casado,Fundamental,Goiânia,GO,Centro-Oeste,CD Goiânia,Sim,2019-02-04,7.4,Sra. Isabelly Câmara,CLT,Híbrido,Ativo
2,Cauã Rocha,Masculino,38,35-44,Casado,Fundamental,Salvador,BA,Nordeste,CD Salvador,Não,2024-03-24,2.3,Dra. Aurora Pastor,Temporário,Presencial,Ativo
3,Ana Beatriz Alves,Feminino,30,25-34,Casado,Médio,Campinas,SP,Sudeste,CD Campinas,Não,2022-03-03,4.3,Henrique da Conceição,CLT,Presencial,Ativo
4,Amanda Novais,Masculino,28,25-34,Solteiro,Superior,Recife,PE,Nordeste,CD Recife,Não,2018-03-02,8.3,Yago Leão,CLT,Presencial,Ativo
5,Pietro Pastor,Masculino,37,35-44,Casado,Superior,Goiânia,GO,Centro-Oeste,CD Goiânia,Não,2025-12-24,0.5,André Teixeira,CLT,Presencial,Ativo
6,Otávio Fernandes,Feminino,49,45-54,Divorciado,Técnico,Brasília,DF,Centro-Oeste,CD Brasília,Não,2021-04-07,5.2,Eduardo Cunha,CLT,Presencial,Ativo
7,Sr. Caleb Garcia,Feminino,31,25-34,Solteiro,Pós,São Paulo,SP,Sudeste,CD São Paulo,Não,2019-07-30,6.9,Luiz Henrique Ferreira,CLT,Presencial,Inativo
8,Julia Aparecida,Masculino,38,35-44,Casado,Técnico,São Paulo,SP,Sudeste,CD São Paulo,Não,2024-03-18,2.3,Sra. Zoe Campos,CLT,Presencial,Ativo
9,Anna Liz Novaes,Masculino,30,25-34,Solteiro,Pós,Salvador,BA,Nordeste,CD Salvador,Não,2022-11-16,3.6,Luiz Miguel Oliveira,CLT,Híbrido,Ativo
10,Bernardo Aparecida,Masculino,33,25-34,Solteiro,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Não,2018-10-13,7.7,Heloísa Vargas,CLT,Presencial,Ativo
11,Bruno da Conceição,Feminino,26,25-34,Solteiro,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Não,2023-01-01,3.5,Mateus da Mota,CLT,Presencial,Ativo
