id_colaborador,nome,sexo,idade,estado_civil,escolaridade,cidade,estado,regional,centro_distribuicao,departamento,cargo,gestor,data_admissao,tempo_empresa,salario,tipo_contrato,modelo_trabalho,pcd,status,turnover,motivo_desligamento,faltas,absenteismo,dias_afastamento,tipo_afastamento,horas_extras,banco_horas,sla_recrutamento,nota_desempenho,engajamento,horas_treinamento,promovido,ferias_pendentes
1,Brenda Alves,Masculino,37,Casado,Fundamental,Goiânia,GO,Centro-Oeste,CD Goiânia,Transporte,Motorista,Sra. Isabelly Câmara,2019-02-04,"7,4",3569,CLT,Híbrido,Sim,Ativo,Não,,3,"0,9",0,,7,4,58,"3,6",87,26,Não,26
2,Cauã Rocha,Masculino,38,Casado,Fundamental,Salvador,BA,Nordeste,CD Salvador,Transporte,Supervisor,Dra. Aurora Pastor,2024-03-24,"2,3",7600,Temporário,Presencial,Não,Ativo,Não,,0,"1,76",0,,46,-1,37,4,84,6,Não,11
3,Ana Beatriz Alves,Feminino,30,Casado,Médio,Campinas,SP,Sudeste,CD Campinas,Centro de Distribuição,Supervisor,Henrique da Conceição,2022-03-03,"4,3",7201,CLT,Presencial,Não,Ativo,Não,,0,"3,52",10,INSS,16,2,49,"2,6",75,20,Não,15
4,Amanda Novais,Masculino,28,Solteiro,Superior,Recife,PE,Nordeste,CD Recife,Last Mile,Coordenador,Yago Leão,2018-03-02,"8,3",11391,CLT,Presencial,Não,Ativo,Não,,1,"2,95",5,Acidente,25,-14,18,"3,5",82,7,Não,11
5,Pietro Pastor,Masculino,37,Casado,Superior,Goiânia,GO,Centro-Oeste,CD Goiânia,Transporte,Supervisor,André Teixeira,2025-12-24,"0,5",7502,CLT,Presencial,Não,Ativo,Não,,1,"3,91",0,,23,-8,60,"4,3",74,31,Não,6
6,Otávio Fernandes,Feminino,49,Divorciado,Técnico,Brasília,DF,Centro-Oeste,CD Brasília,Centro de Distribuição,Auxiliar Operacional,Eduardo Cunha,2021-04-07,"5,2",2473,CLT,Presencial,Não,Ativo,Não,,2,"3,32",5,Licença Médica,29,37,37,"2,6",84,24,Não,6
7,Sr. Caleb Garcia,Feminino,31,Solteiro,Pós,São Paulo,SP,Sudeste,CD São Paulo,Atendimento,Assistente,Luiz Henrique Ferreira,2019-07-30,"6,9",4197,CLT,Presencial,Não,Inativo,Sim,Fim de Contrato,0,"4,22",0,,56,37,21,"3,2",71,38,Não,1
8,Julia Aparecida,Masculino,38,Casado,Técnico,São Paulo,SP,Sudeste,CD São Paulo,Last Mile,Motorista,Sra. Zoe Campos,2024-03-18,"2,3",3046,CLT,Presencial,Não,Ativo,Não,,3,2,0,,16,-10,57,"3,3",98,15,Não,0
9,Anna Liz Novaes,Masculino,30,Solteiro,Pós,Salvador,BA,Nordeste,CD Salvador,Operações,Supervisor,Luiz Miguel Oliveira,2022-11-16,"3,6",8959,CLT,Híbrido,Não,Ativo,Não,,1,"2,43",0,,28,2,40,"3,8",88,29,Não,9
10,Bernardo Aparecida,Masculino,33,Solteiro,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Operações,Conferente,Heloísa Vargas,2018-10-13,"7,7",2407,CLT,Presencial,Não,Ativo,Não,,1,"1,77",2,Licença Médica,51,-13,45,"3,2",77,37,Não,7
11,Bruno da Conceição,Feminino,26,Solteiro,Superior,Brasília,DF,Centro-Oeste,CD Brasília,Centro de Distribuição,Supervisor,Mateus da Mota,2023-01-01,"3,5",8919,CLT,Presencial,Não,Ativo,Não,,3,"3,01",5,Licença Médica,24,9,47,"2,6",84,37,Não,12
12,Maria Clara Castro,Feminino,25,Divorciado,Pós,Campinas,SP,Sudeste,CD Campinas,Centro de Distribuição,Supervisor,Dr. Gustavo Henrique Rios,2016-08-13,"9,9",10444,CLT,Presencial,Não,Ativo,Não,,2,"5,95",5,Licença Médica,20,39,42,"3,4",80,20,Não,22
13,Brayan Pereira,Feminino,24,Solteiro,Médio,Brasília,DF,Centro-Oeste,CD Brasília,Operações,Supervisor,Eloá Nascimento,2021-08-27,"4,8",7784,CLT,Presencial,Não,Ativo,Não,,2,"4,12",10,INSS,24,29,34,"3,1",91,23,Não,12
14,Srta. Elisa Martins,Feminino,52,Solteiro,Médio,São Paulo,SP,Sudeste,CD São Paulo,Operações,Supervisor,Júlia Porto,2016-02-05,"10,4",10261,CLT,Presencial,Sim,Ativo,Não,,0,"2,8",15,INSS,44,-15,24,"3,1",66,36,Não,0
15,Dra. Hellena Rodrigues,Feminino,18,Casado,Médio,Goiânia,GO,Centro-Oeste,CD Goiânia,Financeiro,Assistente,Sr. Ian Andrade,2019-05-04,"7,2",3881,CLT,Presencial,Não,Ativo,Não,,3,"2,22",15,Licença Médica,5,-20,56,"3,1",77,33,Não,29
